# TABLA DE CARGA DE CONTINGENCIA — NO ES CFD
# Fuente: XFLR5 v6.61, metodo de paneles 3D, flujo potencial (inviscid)
# Geometria: doble cuna, Nalci & Kayran (2014), escala real x lambda=1.0
# Eje de bisagra: 50% cuerda de raiz
# Condicion de vuelo: nivel del mar, T=15C, rho=1.225 kg/m3
# LIMITACIONES:
#   - Sin viscosidad ni compresibilidad (Cm identico entre Mach, verificado)
#   - Solo 2 dimensiones: Mach y angulo TOTAL (no AoA/deflexion por separado)
#   - NO incluye velocidad angular de deflexion (XFLR5 es estatico/cuasi-estacionario)
#   - Factor de escala lambda=1.0 -- ver PENDIENTE en Geometria_Aleta_Referencia.md §5
#   - No cumple RNF-PRE-01 (no hay error de interpolacion respecto a CFD, no hay CFD de referencia)
#   - USO PREVISTO: prueba del pipeline de software (interpolacion, control), no caracterizacion real
# Ver: 04_CFD/02_Valores_Referencia_XFLR5.md, 04_CFD/01_Casos/01_Geometria_Aleta_Referencia.md
mach,angulo_deg,torque_bisagra_Nm,torque_bisagra_Nm_referencia_sin_escalar,lambda_escala_aplicado
0.5,-10.0,-2.0710173005634607,-2.0710173005634607,1.0
0.5,-9.75,-2.021261734768278,-2.021261734768278,1.0
0.5,-9.5,-1.9713124167698448,-1.9713124167698448,1.0
0.5,-9.25,-1.9212468474494595,-1.9212468474494595,1.0
0.5,-9.0,-1.8710650268071232,-1.8710650268071232,1.0
0.5,-8.75,-1.820689453961534,-1.820689453961534,1.0
0.5,-8.5,-1.770197629793994,-1.770197629793994,1.0
0.5,-8.25,-1.719589554304502,-1.719589554304502,1.0
0.5,-8.0,-1.6688264770524088,-1.6688264770524088,1.0
0.5,-7.75,-1.617947148478364,-1.617947148478364,1.0
0.5,-7.5,-1.5669515685823678,-1.5669515685823678,1.0
0.5,-7.25,-1.5158397373644203,-1.5158397373644203,1.0
0.5,-7.0,-1.4646116548245216,-1.4646116548245216,1.0
0.5,-6.75,-1.4132673209626712,-1.4132673209626712,1.0
0.5,-6.5,-1.36180673577887,-1.36180673577887,1.0
0.5,-6.25,-1.3102686497137674,-1.3102686497137674,1.0
0.5,-6.0,-1.2586143123267135,-1.2586143123267135,1.0
0.5,-5.75,-1.2068824740583584,-1.2068824740583584,1.0
0.5,-5.5,-1.1550731349087031,-1.1550731349087031,1.0
0.5,-5.25,-1.103147544437096,-1.103147544437096,1.0
0.5,-5.0,-1.051144453084188,-1.051144453084188,1.0
0.5,-4.75,-0.9990638608499792,-0.9990638608499792,1.0
0.5,-4.5,-0.9469057677344696,-0.9469057677344696,1.0
0.5,-4.25,-0.8947089241783092,-0.8947089241783092,1.0
0.5,-4.0,-0.8423958293001977,-0.8423958293001977,1.0
0.5,-3.75,-0.7900439839814357,-0.7900439839814357,1.0
0.5,-3.5,-0.7376533882220233,-0.7376533882220233,1.0
0.5,-3.25,-0.6851852915813099,-0.6851852915813099,1.0
0.5,-3.0,-0.6326784444999461,-0.6326784444999461,1.0
0.5,-2.75,-0.5800940965372815,-0.5800940965372815,1.0
0.5,-2.5,-0.5275097485746167,-0.5275097485746167,1.0
0.5,-2.25,-0.474847899730651,-0.474847899730651,1.0
0.5,-2.0,-0.4221860508866854,-0.4221860508866854,1.0
0.5,-1.75,-0.3694854516020693,-0.3694854516020693,1.0
0.5,-1.5,-0.3167461018768028,-0.3167461018768028,1.0
0.5,-1.25,-0.2639680017108858,-0.2639680017108858,1.0
0.5,-1.0,-0.2111899015449688,-0.2111899015449688,1.0
0.5,-0.75,-0.1584118013790518,-0.1584118013790518,1.0
0.5,-0.5,-0.1055949507724844,-0.1055949507724844,1.0
0.5,-0.25,-0.0528168506065674,-0.0528168506065674,1.0
0.5,0.0,0.0,0.0,1.0
0.5,0.25,0.0528168506065674,0.0528168506065674,1.0
0.5,0.5,0.1055949507724844,0.1055949507724844,1.0
0.5,0.75,0.1584118013790518,0.1584118013790518,1.0
0.5,1.0,0.2111899015449688,0.2111899015449688,1.0
0.5,1.25,0.2639292512702353,0.2639292512702353,1.0
0.5,1.5,0.316668600995502,0.316668600995502,1.0
0.5,1.75,0.369369200280118,0.369369200280118,1.0
0.5,2.0,0.422069799564734,0.422069799564734,1.0
0.5,2.25,0.4747316484086996,0.4747316484086996,1.0
0.5,2.5,0.5273159963713644,0.5273159963713644,1.0
0.5,2.75,0.579900344334029,0.579900344334029,1.0
0.5,3.0,0.632407191415393,0.632407191415393,1.0
0.5,3.25,0.6848752880561062,0.6848752880561062,1.0
0.5,3.5,0.7373046342561692,0.7373046342561692,1.0
0.5,3.75,0.7896564795749311,0.7896564795749311,1.0
0.5,4.0,0.8419695744530429,0.8419695744530429,1.0
0.5,4.25,0.8942051684498534,0.8942051684498534,1.0
0.5,4.5,0.946363261565363,0.946363261565363,1.0
0.5,4.75,0.998443853799572,0.998443853799572,1.0
0.5,5.0,1.0504856955931303,1.0504856955931303,1.0
0.5,5.25,1.1024112860647373,1.1024112860647373,1.0
0.5,5.5,1.1542593756550434,1.1542593756550434,1.0
0.5,5.75,1.205991213923398,1.205991213923398,1.0
0.5,6.0,1.257645551310452,1.257645551310452,1.0
0.5,6.25,1.3092223878162048,1.3092223878162048,1.0
0.5,6.5,1.3606829730000063,1.3606829730000063,1.0
0.5,6.75,1.4120660573025072,1.4120660573025072,1.0
0.5,7.0,1.4632941398424062,1.4632941398424062,1.0
0.5,7.25,1.5144447215010042,1.5144447215010042,1.0
0.5,7.5,1.5654403013970004,1.5654403013970004,1.0
0.5,7.75,1.6163583804116954,1.6163583804116954,1.0
0.5,8.0,1.6671214576637887,1.6671214576637887,1.0
0.5,8.25,1.717768283593931,1.717768283593931,1.0
0.5,8.5,1.768260107761471,1.768260107761471,1.0
0.5,8.75,1.81863568060706,1.81863568060706,1.0
0.5,9.0,1.8688950021306976,1.8688950021306976,1.0
0.5,9.25,1.9189993218917327,1.9189993218917327,1.0
0.5,9.5,1.9689098894495167,1.9689098894495167,1.0
0.5,9.75,2.018704205685349,2.018704205685349,1.0
0.5,10.0,2.068343520158579,2.068343520158579,1.0
0.5,10.25,2.1178278328692075,2.1178278328692075,1.0
0.5,10.5,2.167157143817234,2.167157143817234,1.0
0.5,10.75,2.2162927025620087,2.2162927025620087,1.0
0.5,11.0,2.265273259544182,2.265273259544182,1.0
0.5,11.25,2.314060064323101,2.314060064323101,1.0
0.5,11.5,2.36269186733942,2.36269186733942,1.0
0.5,11.75,2.4111299181524863,2.4111299181524863,1.0
0.5,12.0,2.4594129672029506,2.4594129672029506,1.0
0.5,12.25,2.5074635136095127,2.5074635136095127,1.0
0.5,12.5,2.5553590582534724,2.5553590582534724,1.0
0.5,12.75,2.6030221002535296,2.6030221002535296,1.0
0.5,13.0,2.650491390050335,2.650491390050335,1.0
0.5,13.25,2.697766927643887,2.697766927643887,1.0
0.5,13.5,2.744848713034187,2.744848713034187,1.0
0.5,13.75,2.7916979957805856,2.7916979957805856,1.0
0.5,14.0,2.838353526323731,2.838353526323731,1.0
0.5,14.25,2.8847765542229733,2.8847765542229733,1.0
